Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Camisa/ chaqueta blazer  Fendi,95.2,Fendi,XXXL / IT 50 / EU 46,https://www.vinted.it/items/6920193704-camisa-chaqueta-blazer-fendi?referrer=catalog,0,6920193704,On Sale,,https://images1.vinted.net/t/02_015af_as7W6HzC2329YXdDbkewAoV1/310x430/1755886467.jpeg?s=906eca048d8527082607fcfa65c5922280160f9a,1,1,
Gucci - Top,315.7,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6920123925-gucci-top?referrer=catalog,1,6920123925,On Sale,,https://images1.vinted.net/t/04_01907_Xj5J8KfdLHnEdow3H8LP6cZq/310x430/1755885802.jpeg?s=de8f0fa9f627bbb38af356ee8994b95925ed75cd,1,1,
Gucci Damen T-Shirt Oversize M mit Pailletten,816.0,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6919796193-gucci-damen-t-shirt-oversize-m-mit-pailletten?referrer=catalog,1,6919796193,On Sale,,https://images1.vinted.net/t/04_00845_gBhWC7bfFdCDUoQF7rZ4jRjZ/310x430/1755882876.jpeg?s=1bc5c9431b988e65b65699061abc6217784e8a5f,1,1,
Fendi: introvabile particolare camicetta Fendi vintage y2k,116.2,Fendi,Taglia unica,https://www.vinted.it/items/6919578352-fendi-introvabile-particolare-camicetta-fendi-vintage-y2k?referrer=catalog,0,6919578352,On Sale,,https://images1.vinted.net/t/01_01c5d_zZ8ZZW1zFDocWoGDUQUi3HF3/310x430/1755899147.jpeg?s=c76d14a31c7d1090d8be10762b5ecf4194e05ec2,1,1,
Gucci Seidenbluse schwarz,74.2,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6919137376-gucci-seidenbluse-schwarz?referrer=catalog,6,6919137376,On Sale,,https://images1.vinted.net/t/03_01719_JsPCkgM6QhnEi9E5bepzKbKf/310x430/1755877740.jpeg?s=34b72d1581b091cdd3dae936e7209846d278a83b,1,1,
Miu miu bralette top,420.7,Miu Miu,L / IT 44 / EU 40,https://www.vinted.it/items/6919066602-miu-miu-bralette-top?referrer=catalog,0,6919066602,On Sale,,https://images1.vinted.net/t/04_00930_X4URpMGKqQhKCNE49UHE3Qkd/310x430/1755877214.jpeg?s=87384bbc9ec708f2b207dc6360167a66a175ef70,1,1,
Maglietta Gucci,37.45,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6919038004-maglietta-gucci?referrer=catalog,14,6919038004,On Sale,,https://images1.vinted.net/t/02_01ee0_VchRSxhbugrqnYcRbVVDZou5/310x430/1755877006.jpeg?s=3a941bc7fd5f1047260ae2f260e4a6a8fe7bd410,1,1,
T-shirt Fendi,37.45,Fendi,L / IT 44 / EU 40,https://www.vinted.it/items/6918265030-t-shirt-fendi?referrer=catalog,3,6918265030,On Sale,,https://images1.vinted.net/t/02_00be6_zpLrZFTFQhvWJ42eWe9bGSum/310x430/1755871397.jpeg?s=63529f5410f9b673f9685fc309ff3b24b8ae0695,1,1,
Chemise Miu Miu 40-S Très Bon État,173.95,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6917931881-chemise-miu-miu-40-s-tres-bon-etat?referrer=catalog,3,6917931881,On Sale,,https://images1.vinted.net/t/03_021fe_eqnwQiiqKZ6hMV8RPgA9qESR/310x430/1755869012.jpeg?s=268111e94d1cc8e271313047b5c36b188dec30de,1,1,
Top nero fendi jeans,47.95,Fendi,L / IT 44 / EU 40,https://www.vinted.it/items/6917553280-top-nero-fendi-jeans?referrer=catalog,4,6917553280,On Sale,,https://images1.vinted.net/t/04_0222d_JVQ34dqXjbavR63GJ6G2UsR7/310x430/1755866271.jpeg?s=c7f6cc6ab39b7406adc35ab988c5abcc6dde669d,1,1,
Tee shirt Gucci Taille 36/S,9.1,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6917451720-tee-shirt-gucci-taille-36s?referrer=catalog,0,6917451720,On Sale,,https://images1.vinted.net/t/02_00285_Rr84nes3R6M271pJncAM2FPR/310x430/1755865511.jpeg?s=ba2ea65cc0113b44448f5ffe9bc290bcbab98c60,1,1,
Camicia Gucci🖤,142.45,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6917124423-camicia-gucci?referrer=catalog,7,6917124423,On Sale,,https://images1.vinted.net/t/02_01651_kxaMAQDcEyyhchW3KTHV4Fvc/310x430/1755943734.jpeg?s=acb212ae70970bbf3921be7e926accf15a09a316,1,1,
Vintage 00s Miu Miu Strap Ballon Knitted Dress Size S 40 IT,58.45,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6916406487-vintage-00s-miu-miu-strap-ballon-knitted-dress-size-s-40-it?referrer=catalog,1,6916406487,On Sale,,https://images1.vinted.net/t/03_02262_9ZF8QV6vzZNTSh5aFHbuFZH7/310x430/1755857469.jpeg?s=d90ca1c7426214658bf73316bc367069705aae39,1,1,
Tshirt Gucci,158.2,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/6916518092-tshirt-gucci?referrer=catalog,1,6916518092,On Sale,,https://images1.vinted.net/t/04_02088_MgiizfmVWKeU3RTezVPaPsSi/310x430/1755858303.jpeg?s=c402a48649235b0b6000197c784306c4ee385bba,1,1,
Gucci camisa,263.2,Gucci,L / IT 44 / EU 40,https://www.vinted.it/items/6916490243-gucci-camisa?referrer=catalog,2,6916490243,On Sale,,https://images1.vinted.net/t/03_01e8d_VrzZ3b8MndXnCczDR8FQNnT1/310x430/1755858095.jpeg?s=5ef78f1902efb180aa902fea245caaca546a6b0c,1,1,
Maglietta nera di Gucci in viscosa,79.45,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6916477430-maglietta-nera-di-gucci-in-viscosa-poliammide-ed-elastan-taglia-m?referrer=catalog,5,6916477430,On Sale,,https://images1.vinted.net/t/02_01ab2_E3F1vGbHCQ4xTrgBRzFxeRay/310x430/1755857998.jpeg?s=b6705ac542555f53996862fb7c6345f3d19ad14d,1,1,
Camisola Miu Miu,63.7,Miu Miu,XS / IT 38 / EU 34,https://www.vinted.it/items/6903010044-camisola-miu-miu?referrer=catalog,19,6903010044,On Sale,,https://images1.vinted.net/t/01_0119a_VNJ9YQagD8h1wCJBALs9bbCk/310x430/1755683221.jpeg?s=9b6307085af39bebba8f64bca0ae51283718682d,1,1,
Top smanicato Fendi 100% seta donna taglia 40 elegante woman blusa senza maniche,32.2,Fendi,S / IT 40 / EU 36,https://www.vinted.it/items/6915919304-top-smanicato-fendi-100-seta-donna-taglia-40-elegante-woman-blusa-senza-maniche?referrer=catalog,2,6915919304,On Sale,,https://images1.vinted.net/t/04_017a4_cUAhpJ95zB5Padza7XUooyJZ/310x430/1755852447.jpeg?s=8ae31584494724872dbeb1df66ad6f59aa58aedc,1,1,
"T-shirt donna Gucci"" colore nera taglia XL",19.6,Gucci,XL / IT 46 / EU 42,https://www.vinted.it/items/6915788950-t-shirt-donna-gucci-colore-nera-taglia-xl?referrer=catalog,6,6915788950,On Sale,,https://images1.vinted.net/t/03_00416_6G9iQ5KD5rKbZkMD8U3FNZAJ/310x430/1755850876.jpeg?s=00d0a51119540ac2a39d6090d8adc47d72c57a9c,1,1,
T shirt oversize gucci,105.7,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6915442771-t-shirt-oversize-gucci?referrer=catalog,2,6915442771,On Sale,,https://images1.vinted.net/t/03_017df_yfT7hZuGUcA19BMNrrpS58Ys/310x430/1755846102.jpeg?s=7899b4a65d0d0b9b441c6cbbc4b668fc4da3573a,1,1,
Fendi T-Shirt „Jokarl/Joker“ Gr. M,53.2,Fendi,M / IT 42 / EU 38,https://www.vinted.it/items/6915319796-fendi-t-shirt-jokarljoker-gr-m?referrer=catalog,0,6915319796,On Sale,,https://images1.vinted.net/t/02_00210_wq377ZDwj1m8gH6bRjFZAgbG/310x430/1755850524.jpeg?s=a55597b439be3df693762f8de8a340faa7e56f96,1,1,
Archival 00s Miu Miu Gemstone Polo Shirt Size M,84.7,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6913629203-archival-00s-miu-miu-gemstone-polo-shirt-size-m?referrer=catalog,10,6913629203,On Sale,,https://images1.vinted.net/t/04_00208_Duzmt7rUpEHVCYayhxi9rL7Z/310x430/1755797810.jpeg?s=ae08206c871b3d4c0fb975ade8df063664f9a507,1,1,
T-shirt Gucci,30.1,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6915255927-t-shirt-gucci?referrer=catalog,4,6915255927,On Sale,,https://images1.vinted.net/t/03_003e8_WRoiKQUNkHESSQCVbpbYZxBw/310x430/1755840986.jpeg?s=1b89986702577e4a1eed52be120021e8e04a2b51,1,1,
Silk Miu Miu top vintage,63.7,Miu Miu,S / IT 40 / EU 36,https://www.vinted.it/items/6913374274-silk-miu-miu-top-vintage?referrer=catalog,38,6913374274,On Sale,,https://images1.vinted.net/t/03_01d99_y1H52vsUDKgbFypzQB8nZZq7/310x430/1755795799.jpeg?s=39ff5f9e11c9a8666a4d2965dba9c5cbcbef5e13,1,1,
Canottiera Miu Miu,42.7,Miu Miu,XL / IT 46 / EU 42,https://www.vinted.it/items/6912965733-canottiera-miu-miu?referrer=catalog,2,6912965733,On Sale,,https://images1.vinted.net/t/03_0164c_ZzfyJxPWh1wxN8KgBdZUwQA6/310x430/1755792804.jpeg?s=be1200dd441b55e74de038cbb261c16bd75189da,1,1,
T-shirt,42.7,Miu Miu,L / IT 44 / EU 40,https://www.vinted.it/items/6913058245-t-shirt?referrer=catalog,9,6913058245,On Sale,,https://images1.vinted.net/t/04_00dcd_WCU8sij6DPV89L6tHGpUz4Ke/310x430/1755793471.jpeg?s=848d4c4f2e6115b7eeca137ecaddc91480910645,1,1,
Miu Miu Cotton Polo Shirt,263.2,Miu Miu,XS / IT 38 / EU 34,https://www.vinted.it/items/6914870465-miu-miu-cotton-polo-shirt?referrer=catalog,51,6914870465,On Sale,,https://images1.vinted.net/t/01_02048_bxYGZQx71JxjGt8CXtSjXK1A/310x430/1755810921.jpeg?s=677192e8f0f81a2742059e12742a81d891dae13c,1,1,
Débardeur,47.95,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6901141528-debardeur?referrer=catalog,10,6901141528,On Sale,,https://images1.vinted.net/t/03_01736_52hGeZi48DdgfhrnCbrdtVMa/310x430/1755633450.jpeg?s=3081f0ef2733355aa91627f27eae9a6d2c08725e,1,1,
Gucci tshirt Xs perfetta paillettes,368.2,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6913959568-gucci-tshirt-xs-perfetta-paillettes?referrer=catalog,0,6913959568,On Sale,,https://images1.vinted.net/t/01_00702_LcS6eVhg214VYdUyyFM9gwLi/310x430/1755800611.jpeg?s=799ea852d3a9d683b5c2291656576665c2396531,1,1,
Top miu miu donna,105.69,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6900019341-top-miu-miu-donna?referrer=catalog,0,6900019341,On Sale,,https://images1.vinted.net/t/01_000ed_gTVnYJWZvsuwCE1Qitaeuzh2/310x430/1755623437.jpeg?s=0e8765414e0ad493ccfbc9cacb8d345e739e9b4f,1,1,
Chemise Gucci homme,368.2,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6913265940-chemise-gucci-homme?referrer=catalog,2,6913265940,On Sale,,https://images1.vinted.net/t/04_01de5_uJQpSTBxPGaif5iuamdq8dh6/310x430/1755794984.jpeg?s=94f388313b0455e540fe2d6689c055c45e3b83ba,1,1,
Gucci,26.95,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6913225347-gucci?referrer=catalog,2,6913225347,On Sale,,https://images1.vinted.net/t/01_01c25_nF2gJxLTSLwGrUYsHdikZovP/310x430/1755794686.jpeg?s=b3edb0e281ad77213cc25277b865ba82607ebfa2,1,1,
Parallele Gucci,32.2,Gucci,S / IT 40 / EU 36,https://www.vinted.it/items/6912929697-parallele-gucci?referrer=catalog,1,6912929697,On Sale,,https://images1.vinted.net/t/01_00406_BuQGLuPoDjNzxs7dWNVWHUMv/310x430/1755792544.jpeg?s=b8636672ee82683d57f65eaf1c2fa9ae060c8840,1,1,
T-shirt women’s top M,68.95,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6891475516-t-shirt-womens-top-m?referrer=catalog,56,6891475516,On Sale,,https://images1.vinted.net/t/04_007a1_eyhVGdG974LYUnZQm6zB5ds6/310x430/1755522685.jpeg?s=d19a568e8ca53745bc624c724a298471c5f4adfb,1,1,
Fendi,35.25,Fendi,S / IT 40 / EU 36,https://www.vinted.it/items/6912131294-fendi?referrer=catalog,4,6912131294,On Sale,,https://images1.vinted.net/t/04_010bf_csSeYUundHLW9Nq4kFVBfWyQ/310x430/1755786967.jpeg?s=e2ea706a9b672228d81a19eb494d559c36936d03,1,1,
Gucci T-shirt 100 % katoen XS,58.45,Gucci,XS / IT 38 / EU 34,https://www.vinted.it/items/6911848875-gucci-t-shirt-100-katoen-xs?referrer=catalog,0,6911848875,On Sale,,https://images1.vinted.net/t/01_00bfa_xySehnYR6qQJktAM5U28HvZH/310x430/1755784991.jpeg?s=a37de82f187cd30fdaaded6cf15a5720428566ec,1,1,
Jeanshemd,79.45,Miu Miu,M / IT 42 / EU 38,https://www.vinted.it/items/6911432304-jeanshemd?referrer=catalog,11,6911432304,On Sale,,https://images1.vinted.net/t/02_00db7_wtK9EYRzr2qtmrgGYermjji6/310x430/1755782073.jpeg?s=991979b2e09308870a518c4fc83399a63bb298ba,1,1,
Gucci striped top,63.7,Gucci,M / IT 42 / EU 38,https://www.vinted.it/items/6911526078-gucci-striped-top?referrer=catalog,5,6911526078,On Sale,,https://images1.vinted.net/t/02_00c3b_MVLj35MjoEwCMjR8PMPGM6q2/310x430/1755782734.jpeg?s=c92963e65876cde645fc2153d34ce534c53225cf,1,1,
