Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Upload_date
Blusa verde con bordados Zara,7.0,Zara,M / IT 42 / EU 38,https://www.vinted.it/items/6880614365-blusa-verde-con-bordados-zara?referrer=catalog,1,6880614365,On Sale,,https://images1.vinted.net/t/04_02508_qCas8ckfahJRY8BEveYw664V/310x430/1755366623.webp?s=0e380f8b8a4d478da16e31b47ccc61007d149883,1,1,
T-shirt blanc large,12.25,Shein,L / IT 44 / EU 40,https://www.vinted.it/items/6880614405-t-shirt-blanc-large?referrer=catalog,0,6880614405,On Sale,,https://images1.vinted.net/t/04_00684_trYaRobqzUzca6n2AqX3UcG6/310x430/1755366623.webp?s=9b01ce331cbaee54cfd5384769206e73569a45a7,1,1,
Tunique saumon,7.0,Camaïeu,L / IT 44 / EU 40,https://www.vinted.it/items/6880614164-tunique-saumon?referrer=catalog,0,6880614164,On Sale,,https://images1.vinted.net/t/03_00512_i8NLNVfEdbed6dcm63UpSHer/310x430/1755366621.webp?s=830ef78c8f602b957b4a3ec3c267a678bfd58638,1,1,
Blouse ba&sh,79.45,Ba&sh,L / IT 44 / EU 40,https://www.vinted.it/items/6880614096-blouse-bash?referrer=catalog,0,6880614096,On Sale,,https://images1.vinted.net/t/02_01d4a_bNJmb8yJiinTohooocKKKVuJ/310x430/1755366620.webp?s=b55ecbbdd95692ed9812d06688a42472c31e12d1,1,1,
Débardeur Edc by esprit - Taille 36,2.28,EDC by Esprit,S / IT 40 / EU 36,https://www.vinted.it/items/6880614116-debardeur-edc-by-esprit-taille-36?referrer=catalog,0,6880614116,On Sale,,https://images1.vinted.net/t/02_0071d_eHP7iVzwartm15iyuCTrisAb/310x430/1755366620.webp?s=26e6fa063da869a494c595bd206e4c965e85ebf0,1,1,
Espectacular blusa de gasa terracota con foulard incorporado multiposocion de ZARA T.S,26.95,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880613509-espectacular-blusa-de-gasa-terracota-con-foulard-incorporado-multiposocion-de-zara-ts?referrer=catalog,18,6880613509,On Sale,,https://images1.vinted.net/t/04_005cc_U7dBUfAoALfv9orBqCLpjpfh/310x430/1755366614.webp?s=855a6aaa0fc8db40c19d9839f3dfd7791d12b138,1,1,
Chemise sans manche Vintage love,3.85,Vintage Love,M / IT 42 / EU 38,https://www.vinted.it/items/6880614512-chemise-sans-manche-vintage-love?referrer=catalog,0,6880614512,On Sale,,https://images1.vinted.net/t/02_026ea_amMM3kNmSuUWweRzNHdxbCXJ/310x430/1755366624.webp?s=508300bdda6e1cdecf3cceee6b5ac246996c6249,1,1,
Ralph lauren shirtje,11.2,Ralph Lauren,S / IT 40 / EU 36,https://www.vinted.it/items/6880614489-ralph-lauren-shirtje?referrer=catalog,0,6880614489,On Sale,,https://images1.vinted.net/t/03_01578_RpJQDTd6ypUGZcvzjHnrZdYt/310x430/1755366624.webp?s=70909ceba8b600c5b85d55707ba0ba039c95e453,1,1,
Chaleco,4.38,Zara,S / IT 40 / EU 36,https://www.vinted.it/items/6880614078-chaleco?referrer=catalog,0,6880614078,On Sale,,https://images1.vinted.net/t/02_01201_AunGd7iPggZEboa5dHmR1RuC/310x430/1755366620.webp?s=8c04aa3998c9515c391080d13985ec4af4d90776,1,1,
Camiseta hombrera,1.75,Local,XL / IT 46 / EU 42,https://www.vinted.it/items/6880608805-camiseta-hombrera?referrer=catalog,0,6880608805,On Sale,,https://images1.vinted.net/t/02_023ba_7eNqRmbEwT1p8aEKPRtJzhNQ/310x430/1755366562.webp?s=48aedb8c479a4b6627f6993330e2cf83420497c8,1,1,
Top rayé,3.85,H&M,S / IT 40 / EU 36,https://www.vinted.it/items/6880613921-top-raye?referrer=catalog,0,6880613921,On Sale,,https://images1.vinted.net/t/02_013a4_oNHbHM2CHggTVzz7zVvuGyDQ/310x430/1755366618.webp?s=3ea232e2012c852f6b10e43461b3175de98fa9f5,1,1,
Blusa gialla,11.2,no brand,M / IT 42 / EU 38,https://www.vinted.it/items/6880613986-blusa-gialla?referrer=catalog,0,6880613986,On Sale,,https://images1.vinted.net/t/03_02613_TxJsyFhrEbkkFrsK2HdAtyed/310x430/1755366619.webp?s=ce1441169ae3e62ffc08ff00ef0b4ec0f5ec73ba,1,1,
Top mostaza,5.95,Lefties,L / IT 44 / EU 40,https://www.vinted.it/items/6880614020-top-mostaza?referrer=catalog,0,6880614020,On Sale,,https://images1.vinted.net/t/02_015ed_viSGzRUyHvjJE11VdwcwVSgc/310x430/1755366619.webp?s=c94357945d9f4ae57ffed7674a2aeaa1f7bd9b4a,1,1,
Pull fin sequins,13.3,daniel amaury,S / IT 40 / EU 36,https://www.vinted.it/items/6880613945-pull-fin-sequins?referrer=catalog,0,6880613945,On Sale,,https://images1.vinted.net/t/04_02044_RoywcioeEgfSZYTqpVBHKm1u/310x430/1755366618.webp?s=301f9c7c059b74150cd466a723c1236501f96389,1,1,
