Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page
Scarpe Gucci,29.05,Gucci,40,https://www.vinted.it/items/8286608640-scarpe-gucci?referrer=catalog,2,8286608640,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/05_012cb_EB9JEWk5yBK3Bp7TM6675iPn/310x430/1772362175.webp?s=7269b58f6839467b279cba93cb8ceb7f32550968,2,1
Gucci Tennis Sneakers 38 Neu,273.7,Gucci,38,https://www.vinted.it/items/8286490264-gucci-tennis-sneakers-38-neu?referrer=catalog,4,8286490264,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/01_024db_twBqxhWwadv5qDM3mk1FNT72/310x430/1772361166.webp?s=fc64ac6bbf69f6b8e49fe41c1566fb778bfa7549,2,1
Modèle jackie,314.65,Gucci,0,https://www.vinted.it/items/8281610709-modele-jackie?referrer=catalog,24,8281610709,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/03_002f2_auanYjKkULp27Yr5okLFoW81/310x430/1772294279.webp?s=2e7f200131c4f09b2b330918af2305969ed04516,2,1
Gucci Neceser Mquillajes Viaje,16.45,Gucci,0,https://www.vinted.it/items/8286768464-gucci-neceser-mquillajes-viaje?referrer=catalog,1,8286768464,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/06_01122_VuYD3JXnAn5VhiahynBVPN3c/310x430/1772362491.webp?s=22e7a5876cf5086435e1203ac2cbf675feba473e,2,1
Gucci Tennis Sneakers 38 Neu,273.7,Gucci,38,https://www.vinted.it/items/8286490264-gucci-tennis-sneakers-38-neu?referrer=catalog,4,8286490264,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/01_024db_twBqxhWwadv5qDM3mk1FNT72/310x430/1772361166.webp?s=fc64ac6bbf69f6b8e49fe41c1566fb778bfa7549,2,1
Scarpe Gucci,29.05,Gucci,40,https://www.vinted.it/items/8286608640-scarpe-gucci?referrer=catalog,2,8286608640,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/05_012cb_EB9JEWk5yBK3Bp7TM6675iPn/310x430/1772362175.webp?s=7269b58f6839467b279cba93cb8ceb7f32550968,2,1
Gucci Rush eau de toilette 50 ml,58.45,Gucci,0,https://www.vinted.it/items/8286244013-gucci-rush-eau-de-toilette-50-ml?referrer=catalog,1,8286244013,Sold,01/03/2026 12:16:40,,https://images1.vinted.net/t/05_02441_22Bz94GdwB8nsBXsDQTZwCy2/310x430/1772359941.webp?s=0679820a8909ed88bed909673a27778ef6ab5755,2,2
Scarpe Gucci,29.05,Gucci,40,https://www.vinted.it/items/8286608640-scarpe-gucci?referrer=catalog,2,8286608640,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/05_012cb_EB9JEWk5yBK3Bp7TM6675iPn/310x430/1772362175.webp?s=7269b58f6839467b279cba93cb8ceb7f32550968,2,1
Gucci Tennis Sneakers 38 Neu,273.7,Gucci,38,https://www.vinted.it/items/8286490264-gucci-tennis-sneakers-38-neu?referrer=catalog,4,8286490264,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/01_024db_twBqxhWwadv5qDM3mk1FNT72/310x430/1772361166.webp?s=fc64ac6bbf69f6b8e49fe41c1566fb778bfa7549,2,1
Gucci Rush eau de toilette 50 ml,58.45,Gucci,0,https://www.vinted.it/items/8286244013-gucci-rush-eau-de-toilette-50-ml?referrer=catalog,1,8286244013,Sold,01/03/2026 12:16:40,,https://images1.vinted.net/t/05_02441_22Bz94GdwB8nsBXsDQTZwCy2/310x430/1772359941.webp?s=0679820a8909ed88bed909673a27778ef6ab5755,2,2
Gucci Neceser Mquillajes Viaje,16.45,Gucci,0,https://www.vinted.it/items/8286768464-gucci-neceser-mquillajes-viaje?referrer=catalog,1,8286768464,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/06_01122_VuYD3JXnAn5VhiahynBVPN3c/310x430/1772362491.webp?s=22e7a5876cf5086435e1203ac2cbf675feba473e,2,1
Modèle jackie,314.65,Gucci,0,https://www.vinted.it/items/8281610709-modele-jackie?referrer=catalog,24,8281610709,Sold,01/03/2026 12:16:15,,https://images1.vinted.net/t/03_002f2_auanYjKkULp27Yr5okLFoW81/310x430/1772294279.webp?s=2e7f200131c4f09b2b330918af2305969ed04516,2,1
