Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Zapas doradas mujer,14.3,No brand,38,https://www.vinted.it/items/6537950977-zapas-doradas-mujer?referrer=catalog,1,6537950977,,18/06/2025 21:01:49,,1,9
Claquette été noire et blanc,13.3,Kiabi,39,https://www.vinted.it/items/6537951041-claquette-ete-noire-et-blanc?referrer=catalog,5,6537951041,,18/06/2025 21:01:49,,1,9
Air Jordan 1 mid bleu électrique et noir,84.7,Jordan,39,https://www.vinted.it/items/6537950733-air-jordan-1-mid-bleu-electrique-et-noir?referrer=catalog,0,6537950733,,18/06/2025 21:01:49,,1,9
Sandalia de plataforma nuevas,15.4,Shein,40,https://www.vinted.it/items/6537950754-sandalia-de-plataforma-nuevas?referrer=catalog,0,6537950754,,18/06/2025 21:01:49,,1,9
vends superbes escarpins neufs bleu marine t.38,30.1,LH by La Halle,38,https://www.vinted.it/items/6537950553-vends-superbes-escarpins-neufs-bleu-marine-t38?referrer=catalog,0,6537950553,,18/06/2025 21:01:49,,1,9
Tenis adidas spezial leopardo,62.65,adidas,38,https://www.vinted.it/items/6537950402-tenis-adidas-spezial-leopardo?referrer=catalog,1,6537950402,,18/06/2025 21:01:49,,1,9
Licht blauwe hakken Primark,8.58,Primark,36,https://www.vinted.it/items/6537950391-licht-blauwe-hakken-primark?referrer=catalog,1,6537950391,,18/06/2025 21:01:49,,1,9
Scarpe da barca sebago,105.7,Sebago,41,https://www.vinted.it/items/6537950387-scarpe-da-barca-sebago?referrer=catalog,0,6537950387,,18/06/2025 21:01:49,,1,9
Sale! Alexander mcqueen 38 original,205.45,Alexander McQueen,38,https://www.vinted.it/items/6526812254-sale-alexander-mcqueen-38-original?referrer=catalog,0,6526812254,,18/06/2025 21:01:49,,1,9
Regalo sandali beige cuoio vero subdued,1.75,Subdued,38,https://www.vinted.it/items/6537949519-regalo-sandali-beige-cuoio-vero-subdued?referrer=catalog,0,6537949519,,18/06/2025 21:01:49,,1,9
Regenlaarzen enfant goud 40,21.7,En Fant,40,https://www.vinted.it/items/6537949625-regenlaarzen-enfant-goud-40?referrer=catalog,0,6537949625,,18/06/2025 21:01:49,,1,9
Hey Marly,31.15,Hey Marly,Taglia unica,https://www.vinted.it/items/6537949224-hey-marly-topping-aesthetic-pearls-ps1?referrer=catalog,0,6537949224,,18/06/2025 21:01:49,,1,9
Sandali windsor Smith,47.95,Windsor Smith,37.5,https://www.vinted.it/items/6537948746-sandali-windsor-smith?referrer=catalog,0,6537948746,,18/06/2025 21:01:49,,1,9
Chaussures à talons,24.85,CM,38,https://www.vinted.it/items/6537948827-chaussures-a-talons-compenses?referrer=catalog,0,6537948827,,18/06/2025 21:01:49,,1,9
slingback bicolore,26.95,No brand,42,https://www.vinted.it/items/6537948412-slingback-bicolore?referrer=catalog,2,6537948412,,18/06/2025 21:01:49,,1,9
Sandals,230.65,Prada,37,https://www.vinted.it/items/6537946020-sandals?referrer=catalog,0,6537946020,,18/06/2025 21:01:49,,1,9
Sandalia leopardo Zara 38,16.45,Zara,38,https://www.vinted.it/items/6537948362-sandalia-leopardo-zara-38?referrer=catalog,0,6537948362,,18/06/2025 21:01:49,,1,9
Air Force one,95.2,Nike,39,https://www.vinted.it/items/6537947863-air-force-one?referrer=catalog,0,6537947863,,18/06/2025 21:01:49,,1,9
Bottes femme 38,40.6,Femme,38,https://www.vinted.it/items/6537947767-bottes-femme-38?referrer=catalog,0,6537947767,,18/06/2025 21:01:49,,1,9
Lichtroze schoenen,8.58,geen idee,38,https://www.vinted.it/items/6537947770-lichtroze-schoenen?referrer=catalog,0,6537947770,,18/06/2025 21:01:49,,1,9
Zwarte cowboy botten,5.95,No brand,41,https://www.vinted.it/items/6537947540-zwarte-cowboy-botten?referrer=catalog,1,6537947540,On Sale,,,1,9
