Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,SearchName
Mules Gucci transparentes taille 40,209.65,Gucci,40,https://www.vinted.it/items/8081533322-mules-gucci-transparentes-taille-40?referrer=catalog,1,8081533322,On Sale,,,https://images1.vinted.net/t/05_01582_io6PFBj6SSEQKqjV3PWxbcvH/310x430/1770002026.webp?s=bd4227c3dbef8832a902fb1f6c6b818bb1acf013,1,1,
Lunette Gucci,53.2,Gucci,0,https://www.vinted.it/items/8148450167-lunette-gucci?referrer=catalog,0,8148450167,On Sale,,,https://images1.vinted.net/t/05_019f4_o6TemSwZnC5AunqHPSDUD118/310x430/1770756713.webp?s=620b9805c82279d8c337db7549cf13f4e83a39e1,1,1,
Reserved,1.75,ATEEZ,0,https://www.vinted.it/items/8143487137-reserved?referrer=catalog,1,8143487137,On Sale,,,https://images1.vinted.net/t/06_01d8c_7vwyEdj7Kmcms3uEKBusHtwB/310x430/1770720816.webp?s=98ac06d5f74bfe1005a9a4ab479ae9aaa4a341ac,1,7,
Parfum Dior j’adore,53.2,Dior,0,https://www.vinted.it/items/8143416742-parfum-dior-jadore?referrer=catalog,2,8143416742,On Sale,,,https://images1.vinted.net/t/03_0087b_yGzf1zpL1h5xFPnea1WYMUXD/310x430/1770720281.webp?s=719c8d6bafd42681dbc431b8b92f55ed0c23331e,1,7,
Casquette Gucci,314.65,Gucci,L,https://www.vinted.it/items/8142907211-casquette-gucci?referrer=catalog,0,8142907211,On Sale,,,https://images1.vinted.net/t/06_020f0_c9B2HcLfzpogCzrPdk7gMCUE/310x430/1770716080.webp?s=c741a9d06f5c29d7a66f01224df5c27ac226b219,1,8,
Gucci denim embroidered shearling jacket maat 10 (collectors item),590.58,Gucci,10 anni / 140 cm,https://www.vinted.it/items/8142792043-gucci-denim-embroidered-shearling-jacket-maat-10-collectors-item?referrer=catalog,4,8142792043,On Sale,,,https://images1.vinted.net/t/01_00c6e_SVzaXxJuZ9po7ySAAT4BpEnH/310x430/1770714966.webp?s=fba8d1047ea1125355240c4d4844172a2b13d134,1,8,
Manette ps4,21.6,Sony,0,https://www.vinted.it/items/8148627631-manette-ps4?referrer=catalog,0,8148627631,On Sale,,,https://images1.vinted.net/t/05_00873_T5HUvLJuRPac1GtwQ8FUqHMh/310x430/1770758399.webp?s=37c26920efc4d3717b100eb63362665ea40f74b7,1,1,
Juego PS4,16.45,No brand,0,https://www.vinted.it/items/8148626625-juego-ps4?referrer=catalog,0,8148626625,On Sale,,,https://images1.vinted.net/t/05_01f47_rPRtqYLKuRkyz3badwP55thT/310x430/1770758388.webp?s=fde30c61bcf62de7f192f73e15c87292afcb358b,1,1,
Steel box call of duty modern warfare 2,21.7,Collezione,0,https://www.vinted.it/items/8148625116-steel-box-call-of-duty-modern-warfare-2?referrer=catalog,0,8148625116,On Sale,,,https://images1.vinted.net/t/06_00bb0_rGVG8KsSYzu4ATNdVAPhDBsH/310x430/1770758373.webp?s=a3d1aa1a8457bd39f53ebd31e8366bba4fa0c847,1,1,
Spider man,11.2,No brand,0,https://www.vinted.it/items/8148620953-spider-man?referrer=catalog,0,8148620953,On Sale,,,https://images1.vinted.net/t/06_004c8_SiGenioRhr7sp1D2GHLecHRj/310x430/1770758330.webp?s=3dad97f801c66ab2726a80b403a01c51b340f00a,1,1,
Filet de rangement IKEA Vintage 1999,11.2,IKEA,0,https://www.vinted.it/items/8148613402-filet-de-rangement-ikea-vintage-1999?referrer=catalog,4,8148613402,On Sale,,,https://images1.vinted.net/t/05_00a46_eBQPyhcyT75bUNwd5AViTpJ8/310x430/1770758254.webp?s=e100f0ed6324ff6b82d2ec205d927b71a3922638,1,1,
Final Fantasy VII Remake 💥 Playstation 4 💥 New/Neuf/Nuevo,26.94,No brand,0,https://www.vinted.it/items/8148609131-final-fantasy-vii-remake-playstation-4-newneufnuevo?referrer=catalog,8,8148609131,On Sale,,,https://images1.vinted.net/t/06_00e53_nn3SBS7hKJagyvuqeD1yNXJk/310x430/1770758212.webp?s=fe7772b86fe1a51b4fd59e22bf3d6271ec4b8aaf,1,1,
Vendo giochi Assassin's Creed su PS4 se aggiungete 5€ fifA21 e for Honor,44.8,No brand,0,https://www.vinted.it/items/8148610752-vendo-giochi-assassins-creed-su-ps4-se-aggiungete-5eu-fifa21-e-for-honor?referrer=catalog,0,8148610752,On Sale,,,https://images1.vinted.net/t/04_017bd_JwjvpAtm1oCZiNdcBQ5CaMGP/310x430/1770758227.webp?s=b3760e1249c5dfcac58824c7a08a8836dcf4df20,1,1,
"Jeu ""Fifa18"" pour Ps4",11.2,No brand,0,https://www.vinted.it/items/8148604864-jeu-fifa18-pour-ps4?referrer=catalog,0,8148604864,On Sale,,,https://images1.vinted.net/t/06_0160f_9cZ9iXPMje42MwWVFzBuPpHk/310x430/1770758168.webp?s=d2386a4799eb493a3d8434a3554ad6b2f0a10692,1,1,
Pes 2020 per PS4,11.2,No brand,0,https://www.vinted.it/items/8148604627-pes-2020-per-ps4?referrer=catalog,0,8148604627,On Sale,,,https://images1.vinted.net/t/04_0030b_4wBGh9wvwSj6thVZbMsxDH77/310x430/1770758166.webp?s=3386047016f89438dac4fc238d754d5ff5dfe84d,1,1,
Jeux PlayStation 4,5.95,No brand,0,https://www.vinted.it/items/8148598463-jeux-playstation-4?referrer=catalog,1,8148598463,On Sale,,,https://images1.vinted.net/t/05_01b7c_dwB9HTjcM31jBXRK5Yb87mxA/310x430/1770758104.webp?s=914215e31d6342936699f0e576b17d476b23d23e,1,1,
disco ps4,11.2,No brand,0,https://www.vinted.it/items/8148592791-disco-ps4?referrer=catalog,0,8148592791,On Sale,,,https://images1.vinted.net/t/05_018a7_TWoe7VQPPaMyhGVUGvc6ky7t/310x430/1770758048.webp?s=85511f89946fd1ff7017d1ffa5e98e29bac33037,1,1,
Jeux ps4,8.05,No brand,0,https://www.vinted.it/items/8148586769-jeux-ps4?referrer=catalog,0,8148586769,On Sale,,,https://images1.vinted.net/t/04_006ff_oFMmjCrn2x8nYZ44sUQMEk69/310x430/1770757989.webp?s=0aa9ca8488d118b955e870ed3694b10505bcd4f4,1,1,
