Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
The most wanted Azzaro,74.2,Azzaro,0,https://www.vinted.it/items/6456995698-the-most-wanted-azzaro?referrer=catalog,1,6456995698,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_02356_DnEBg2w4BtrpBrHzhPRyMhqv/310x430/1749075755.jpeg?s=deb596773c7b061aa4fd44f902f1e2c5af58e455,1,1
Miniature the most wanted,16.45,Azzaro,0,https://www.vinted.it/items/6456754328-miniature-the-most-wanted?referrer=catalog,8,6456754328,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_00363_Fg5SzDGpGxnYRtYYLgZ8oY3c/310x430/1749070393.jpeg?s=f0130d333d688a74d598ad5b0bbedf917cabb511,1,1
Parfum azzaro the most wanted,53.2,Azzaro,0,https://www.vinted.it/items/6451142007-parfum-azzaro-the-most-wanted?referrer=catalog,8,6451142007,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_00b51_ks25q9NH8GD1fhZEfC9dotoB/310x430/1748992110.jpeg?s=44fc7bdf928a74cff3915f8137833e93f862863b,1,1
Azzaro the most wanted edp intense set,75.25,Azzaro,0,https://www.vinted.it/items/6439913741-azzaro-the-most-wanted-edp-intense-set?referrer=catalog,2,6439913741,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_02443_MFDNUKv6YzZ5emZQXLQaqKNm/310x430/1748942999.jpeg?s=2a9691939ae47f6d9f42ec57f9d6663f5740facc,1,1
Parfum azzaro the most wanted intense,58.45,Azzaro,0,https://www.vinted.it/items/6440303623-parfum-azzaro-the-most-wanted-intense?referrer=catalog,3,6440303623,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_015bf_R622HpJMFh7Knvqv8whCufpX/310x430/1748858425.jpeg?s=9bbf32470c69a64650e0568994307bbf1dceac74,1,1
Parfum the most wanted Azzaro,63.7,Azzaro,0,https://www.vinted.it/items/6439182821-parfum-the-most-wanted-azzaro?referrer=catalog,4,6439182821,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_00858_WRPQZCdJuGfMSZqQYT8AmyTJ/310x430/1748839219.jpeg?s=fcd30dcdeca61746ca3d54257041d4e46a1411ce,1,1
Azzaro The Most Wanted Eau de Parfum Intense 100ml,84.7,Azzaro,0,https://www.vinted.it/items/6437956062-azzaro-the-most-wanted-eau-de-parfum-intense-100ml?referrer=catalog,3,6437956062,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_0128f_uQZZrkYR3dSnxupknF4qooZo/310x430/1748803481.jpeg?s=bac74b05e218e1fa627f04a295cc0bbab273c7c7,1,1
Azzaro 100ml the most wanted Männer Parfüm,53.2,Azzaro,0,https://www.vinted.it/items/6432536950-azzaro-100ml-the-most-wanted-manner-parfum?referrer=catalog,0,6432536950,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/01_025a8_6YPs4GqmYhq2DJhnYsASAmmS/310x430/1748769103.jpeg?s=e4111144cd10e1e031d905c90d4b9dbb81e4ca8e,1,1
Parfum Azzaro The Most Wanted Intense,58.45,Azzaro,0,https://www.vinted.it/items/6425722265-parfum-azzaro-the-most-wanted-intense?referrer=catalog,1,6425722265,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/03_01697_ZJ2KdGLnhs3g35tUEtFw9JF4/310x430/1748637447.jpeg?s=ffa201b419652b71a12ec4f9f5410e9ad9488565,1,1
Parfum Azzaro the most wanted parfum 100mL,63.7,Azzaro,0,https://www.vinted.it/items/6424100337-parfum-azzaro-the-most-wanted-parfum-100ml?referrer=catalog,2,6424100337,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_00c7e_C6xEVM9CajYgCZVcRbw9epcf/310x430/1748619829.jpeg?s=a26c000ed760a0fd0fd1976977ef8e06df24e975,1,1
Azzaro The Most Wanted Parfum - Nuovo,19.5,Azzaro,0,https://www.vinted.it/items/6418897164-azzaro-the-most-wanted-parfum-nuovo?referrer=catalog,5,6418897164,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/02_008d7_2wGzXx13kk47JPi15Dd8SyKi/310x430/1748537486.jpeg?s=08cdd3bd766fa9b49956b4f52333fdcbaff91c96,1,1
Azzaro the Most Wanted Intense/ Abfüllung 2ml,61.6,Azzaro,0,https://www.vinted.it/items/6411001385-azzaro-the-most-wanted-intense-abfullung-2ml5ml10ml?referrer=catalog,3,6411001385,On Sale,03/07/2025 11:03:44,https://images1.vinted.net/t/04_00f95_sCoGUGLxADcL7u9dzRiudTfr/310x430/1748438221.jpeg?s=eeab839fcc5d0be51cf5bf6a21b34a241694c944,1,1
