ProductId,n,VariantsFound,VariantSilhouette
2460,11,2,0.861432671546936
2462,4,1,
2477,5,1,
2483,17,6,0.8823527097702026
2484,5,1,
2489,4,1,
2491,6,2,0.9999997019767761
2492,5,3,0.599999725818634
2497,4,1,
2500,13,3,0.9999998807907104
2502,4,1,
2503,40,9,0.7856389284133911
2504,20,2,0.9163517951965332
2506,4,1,
2511,7,2,0.9740289449691772
2512,5,1,
2514,8,3,0.8749998211860657
2524,8,2,1.0
2527,5,1,
2531,4,1,
2533,4,1,
2537,4,1,
2538,5,1,
2544,5,1,
2547,5,1,
2549,5,1,
2550,5,1,
2551,4,1,
2554,5,3,0.6000000238418579
2559,10,1,
2562,5,1,
2564,8,1,
2574,6,2,0.8333333134651184
2576,15,5,0.675733745098114
2577,37,8,0.7231890559196472
2582,5,1,
2585,4,1,
2586,4,1,
2593,5,2,0.7900052070617676
2597,6,1,
2601,5,1,
2603,5,1,
2608,4,1,
2609,10,1,
2613,4,1,
2614,4,1,
2617,4,4,
2619,4,1,
2621,4,1,
2622,5,1,
2625,11,2,0.9749707579612732
2627,4,1,
2628,7,2,0.9771227836608887
2629,32,4,0.7584346532821655
2632,4,1,
2633,5,1,
2635,5,2,0.9999998211860657
2640,5,1,
2641,4,1,
2643,13,3,0.9008156061172485
2645,21,7,0.729864776134491
2647,4,1,
2650,5,2,0.6452252268791199
2651,4,1,
2655,22,4,0.9222002625465393
2657,5,1,
2659,124,13,0.6961264610290527
2662,6,2,0.9999998211860657
2666,5,1,
2671,4,1,
2672,146,22,0.6579774022102356
2673,5,2,0.7999998927116394
2675,5,2,0.9999998807907104
2677,5,1,
2679,5,1,
2680,5,1,
2682,4,1,
2684,5,1,
2685,5,1,
2686,4,3,0.4675699770450592
2687,4,2,0.75
2689,4,1,
2692,10,4,0.7999998927116394
2693,26,5,0.9971973896026611
2694,4,1,
2699,6,2,0.8333333134651184
2702,18,3,0.7130254507064819
2708,5,1,
2709,4,2,0.75
2710,9,3,0.92662113904953
2711,8,3,0.8749998211860657
2712,10,1,
2719,4,2,0.9999998807907104
2723,13,1,
2726,4,1,
2728,6,3,0.8333325386047363
2734,11,2,0.9691286683082581
2735,4,1,
2742,20,6,0.8823598623275757
2750,4,1,
2753,7,1,
2757,15,2,0.8596628904342651
2760,4,1,
2762,4,1,
2764,4,1,
2768,4,1,
2770,4,1,
2774,12,4,0.8333332538604736
2775,5,1,
2777,5,1,
2779,5,2,1.0
2781,6,2,0.9999997615814209
2785,5,1,
2792,6,4,0.5390178561210632
2793,4,1,
2796,6,1,
2797,5,1,
2799,7,1,
