Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page,Interested_count,View_count,Description,Condition,Upload_date,SellerId,SellerName,Stars,Location,ReviewsCount
Chanel Sneaker Gold Weiß Gr. 40 – Mit Staubbeutel,138.2,Chanel,40.0,https://www.vinted.it/items/6531441752-chanel-sneaker-gold-weiss-gr-40-mit-staubbeutel-originalverpackung-papiere?referrer=catalog,0,6531441752,Sold,17/06/2025 21:10:27,[],4,1,,,"Biete hier meine Chanel Sneaker in Größe 40 an. Die Schuhe sind gold mit weißen und silbernen Details und natürlich dem bekannten Chanel-Logo an der Seite. Alles ist dabei: Stoffbeutel, Papiere (die originalen Kärtchen von Chanel, inkl. CARTE D'AUTHENTICITÉ) und Originalverpackung. Die Schuhe sind ungetragen und sind in einem neuwertigen Zustand. Abholung bevorzugt. Bei Fragen einfach schreiben:)",Nuovo senza cartellino,17 min fa,4,noirea.1l,-1.0,,0
Dr martens sinclair,126.7,Dr. Martens,38.0,https://www.vinted.it/items/6532368510-dr-martens-sinclair?referrer=catalog,0,6532368510,Sold,17/06/2025 21:10:28,[],4,1,,,"En tres bon etat, porté 2/3 fois. Envoi rapide 👌🏻. Remise en mains propre possible en ile de france 🌺.",Nuovo senza cartellino,14 min fa,5,gad95200,5.0,,389
Asics GEL-Kayano 14 gris/rose,105.69,Asics,39.0,https://www.vinted.it/items/6529922527-asics-gel-kayano-14-grisrose?referrer=catalog,0,6529922527,Sold,17/06/2025 21:10:29,[],4,1,,,🔴ASICS GEL-Kayano 14 gris/rose 🟠Taille 39 🟢 Neuf sans étiquette 🔵 Envoyez moi un message pour plus d'informations !,Nuovo senza cartellino,14 min fa,6,dutshop,4.9,,169
Sapatilhas New Balance 327,74.2,New Balance,37.0,https://www.vinted.it/items/6532759510-sapatilhas-new-balance-327?referrer=catalog,0,6532759510,Sold,17/06/2025 21:11:37,[],5,1,,,Sapatilhas New Balance 327 Nunca usadas Tamanho 37,Nuovo senza cartellino,Proprio adesso,1,rafaelmsoares,4.8,,18
Zara zwarte lak pumps,7.0,Zara,38.0,https://www.vinted.it/items/6532760221-zara-zwarte-lak-pumps?referrer=catalog,0,6532760221,Sold,17/06/2025 21:11:37,[],5,1,,,Zara zwarte lak pumps Z.g.a.n. Maat: 38 Hakhoogte: 6 cm,Nuovo senza cartellino,Proprio adesso,2,leonny47,4.8,,118
Bailarinas de stradivarius,10.15,Stradivarius,38.0,https://www.vinted.it/items/6532760890-bailarinas-de-stradivarius?referrer=catalog,0,6532760890,Sold,17/06/2025 21:11:37,[],5,1,,,Bailarinas sin usar,Nuovo senza cartellino,Proprio adesso,3,ade9129,5.0,,6
Lazamani sandaaltjes 39,21.7,Lazamani,39.0,https://www.vinted.it/items/6532756775-lazamani-sandaaltjes-39?referrer=catalog,0,6532756775,Sold,17/06/2025 21:11:37,[],5,1,,,Te veel schoenen,Nuovo senza cartellino,un minuto fa,4,zomerzonnetje2002,4.9,,316
UGG Boots - Boho style,26.95,UGG,38.5,https://www.vinted.it/items/6531440347-ugg-boots-boho-style?referrer=catalog,0,6531440347,Sold,17/06/2025 21:11:37,[],5,1,,,"Leicht und sommertaugluch, kaum getragen",Nuovo senza cartellino,un minuto fa,5,franktastic1,5.0,,1
Schwarze Sandalen,8.05,H&M,39.0,https://www.vinted.it/items/6532759648-schwarze-sandalen?referrer=catalog,0,6532759648,Sold,17/06/2025 21:11:37,[],5,1,,,"Nur einmal getragen, wie neu !",Nuovo senza cartellino,Proprio adesso,6,steffi0297,5.0,,16
Asics gel kayano 14 taille 39,70.0,Asics,39.0,https://www.vinted.it/items/6532764331-asics-gel-kayano-14-taille-39?referrer=catalog,0,6532764331,Sold,17/06/2025 21:12:23,[],6,1,,,"Taille 39 jamais porté À vendre rapidement J’envoie demain, plus rapidement si vous prenez via chronopost",Nuovo senza cartellino,Proprio adesso,1,hfv7tpnxqe4z,-1.0,,0
Basket,26.95,adidas,38.0,https://www.vinted.it/items/6532765070-basket?referrer=catalog,0,6532765070,Sold,17/06/2025 21:12:23,[],6,1,,,"Basket, couleur, marron clair jamais porté encore toute neuve taille 38 !! Très confortable De la marque Adidas",Nuovo senza cartellino,Proprio adesso,2,luna59160,4.7,,16
Zara Sandalen NEU grösse 39 braun,31.15,Zara,39.0,https://www.vinted.it/items/6532764297-zara-sandalen-neu-grosse-39-braun?referrer=catalog,0,6532764297,Sold,17/06/2025 21:12:23,[],6,1,,,#zara#zarafashion#zarasandalen#römersandalen#neu#sandalen39#bloggerstyle#bloggerfashion#,Nuovo senza cartellino,Proprio adesso,3,nidos,5.0,,306
Scarpe con tacco argento,16.45,Nero Giardini,38.0,https://www.vinted.it/items/6532764124-scarpe-con-tacco-argento?referrer=catalog,0,6532764124,Sold,17/06/2025 21:12:24,[],6,1,,,Indossate una sola volta Sono in perfette condizioni,Nuovo senza cartellino,Proprio adesso,4,danyespo85,4.9,,174
Basket beige,16.45,Bonprix,39.0,https://www.vinted.it/items/6532765619-basket-beige?referrer=catalog,0,6532765619,Sold,17/06/2025 21:12:24,[],6,1,,,jamais porté,Nuovo senza cartellino,Proprio adesso,5,stephanieseillier,4.9,,250
Heyraud,47.95,Heyraud,39.5,https://www.vinted.it/items/6532763514-heyraud-tres-jolies-chaussures-femme-habillees-395-neufs?referrer=catalog,0,6532763514,Sold,17/06/2025 21:12:24,[],6,1,,,"Heyraud, très jolies chaussures femme habillées, 39,5, neufs Prix d’achat 159€",Nuovo senza cartellino,Proprio adesso,6,machev09,4.9,,995
Zara sandalia destalonada piel tiras 39,31.15,Zara,39.0,https://www.vinted.it/items/6532770118-zara-sandalia-destalonada-piel-tiras-39?referrer=catalog,0,6532770118,Sold,17/06/2025 21:13:09,[],7,1,,,"Zara , precioso sandalia destalonado de color negro de piel , con precioso detalles , con lazo en la parte delantera , y con tiras para atar en pierna , una preciosidad y súper cómodos, talla 36 , 37 , 38 , 39 ,40 , zara !!! Piel !!! Talla 39",Nuovo senza cartellino,Proprio adesso,1,zarahome123,4.9,,630
Chaussures gris perle talon,13.3,No brand,38.0,https://www.vinted.it/items/6532768853-chaussures-gris-perle-talon?referrer=catalog,11,6532768853,Sold,17/06/2025 21:13:09,[],7,1,,,Taille 38 Neuve,Nuovo senza cartellino,Proprio adesso,2,beniciel,4.9,,503
Scarpe da ginnastica nere,32.2,Nike,37.0,https://www.vinted.it/items/6532769996-scarpe-da-ginnastica-nere?referrer=catalog,0,6532769996,Sold,17/06/2025 21:13:10,[],7,1,,,"Scarpe da ginnastica nere, mai indossate",Nuovo senza cartellino,Proprio adesso,3,katykatymh,1.0,,1
Zapatillas b30,79.45,Local,42.0,https://www.vinted.it/items/6532768444-zapatillas-b30?referrer=catalog,0,6532768444,Sold,17/06/2025 21:13:10,[],7,1,,,Buena calidad,Nuovo senza cartellino,un minuto fa,4,wa233,4.9,,73
Yeezy slide,63.7,Yeezy,38.0,https://www.vinted.it/items/6532769147-yeezy-slide?referrer=catalog,0,6532769147,Sold,17/06/2025 21:13:10,[],7,1,,,Indossate una volta,Nuovo senza cartellino,Proprio adesso,5,kiaretta001,4.7,,25
Vans Schuhe,37.45,Vans,41.0,https://www.vinted.it/items/6532770255-vans-schuhe?referrer=catalog,0,6532770255,Sold,17/06/2025 21:13:10,[],7,1,,,1 mal im Laden anprobiert und jetzt stehen die im Schuheregal. Zustand neu. Unisex. Schnüren sind aus Leder. Zustand siehe Fotos. Neue Zustand. Frauen Größe 41 - 41.5. US 10 Männer Größe 41. US 8.5 Ich habe paar Flecken gesehen. Mein Mann sieht aber keine Flecken. Ich habe versucht so gut wie möglich abzufotografieren. Bei Fragen gerne schreiben 🥰,Nuovo senza cartellino,Proprio adesso,6,o.okarinao.o,5.0,,615
Botines urbanos barefoot,35.35,Barefoot,40.0,https://www.vinted.it/items/6532785679-botines-urbanos-barefoot?referrer=catalog,0,6532785679,Sold,17/06/2025 21:15:31,[],1,1,,,"Precio fijo, POR FAVOR NO OFERTAS🙏 🌻 Botines urbanos super bonitos, barefoot, número 40 vienen perfectas de tallaje, la plantilla mide 26,2 cms. En color mostaza, estilo casual urbano, totalmente nuevas. Barefoot es un calzado especial por su punta más ancha para la comodidad de los dedos, la suela más fina, flexible y antideslizante. Cómoda y a la moda!! Botas zapatos zapatillas calzado descalzo",Nuovo senza cartellino,Proprio adesso,1,marpolar,4.9,,877
Sandales mules cuir tressé noir marque Andres Machado pointure 37,26.95,Andres Machado,37.0,https://www.vinted.it/items/6532785558-sandales-mules-cuir-tresse-noir-marque-andres-machado-pointure-37?referrer=catalog,0,6532785558,Sold,17/06/2025 21:15:31,[],1,1,,,Sandales mules cuir tressé noir marque Andres Machado,Nuovo senza cartellino,Proprio adesso,2,evelyne9523,5.0,,47
Sandales tropéziennes,21.7,Les Tropeziennes,37.0,https://www.vinted.it/items/6532786148-sandales-tropeziennes?referrer=catalog,0,6532786148,Sold,17/06/2025 21:15:31,[],1,1,,,Magnifiques sandales tropéziennes en cuir tressé blanc et doré. Neuves,Nuovo senza cartellino,Proprio adesso,3,evelynehivert,4.9,,73
Adidas wales bonner maat 42,79.45,adidas,42.0,https://www.vinted.it/items/6532785078-adidas-wales-bonner-maat-42?referrer=catalog,0,6532785078,Sold,17/06/2025 21:15:31,[],1,1,,,Nooit gedragen omdat ze te klein zijn ✨,Nuovo senza cartellino,Proprio adesso,4,giorgiaroman,4.8,,209
