ProductId,Autotuned,n,VariantsFound,VariantSilhouette,Notes
198,False,1,1,,skipped_small_product_cluster
199,False,1,1,,skipped_small_product_cluster
200,False,2,1,,skipped_small_product_cluster
201,False,2,1,,skipped_small_product_cluster
203,False,1,1,,skipped_small_product_cluster
204,False,2,1,,skipped_small_product_cluster
205,False,1,1,,skipped_small_product_cluster
206,False,1,1,,skipped_small_product_cluster
207,False,1,1,,skipped_small_product_cluster
208,False,2,1,,skipped_small_product_cluster
209,False,1,1,,skipped_small_product_cluster
210,False,1,1,,skipped_small_product_cluster
211,False,1,1,,skipped_small_product_cluster
212,False,1,1,,skipped_small_product_cluster
213,False,2,1,,skipped_small_product_cluster
214,False,2,1,,skipped_small_product_cluster
215,False,1,1,,skipped_small_product_cluster
216,False,2,1,,skipped_small_product_cluster
217,False,1,1,,skipped_small_product_cluster
218,False,1,1,,skipped_small_product_cluster
219,False,1,1,,skipped_small_product_cluster
220,False,2,1,,skipped_small_product_cluster
221,False,1,1,,skipped_small_product_cluster
222,False,1,1,,skipped_small_product_cluster
223,False,1,1,,skipped_small_product_cluster
224,False,1,1,,skipped_small_product_cluster
225,False,1,1,,skipped_small_product_cluster
226,False,1,1,,skipped_small_product_cluster
227,False,1,1,,skipped_small_product_cluster
228,False,1,1,,skipped_small_product_cluster
229,False,1,1,,skipped_small_product_cluster
230,False,1,1,,skipped_small_product_cluster
232,False,3,1,,skipped_small_product_cluster
234,False,1,1,,skipped_small_product_cluster
235,False,1,1,,skipped_small_product_cluster
236,False,1,1,,skipped_small_product_cluster
237,False,2,1,,skipped_small_product_cluster
238,False,1,1,,skipped_small_product_cluster
239,False,1,1,,skipped_small_product_cluster
240,False,1,1,,skipped_small_product_cluster
241,False,2,1,,skipped_small_product_cluster
242,False,1,1,,skipped_small_product_cluster
243,False,1,1,,skipped_small_product_cluster
244,False,1,1,,skipped_small_product_cluster
245,False,1,1,,skipped_small_product_cluster
246,False,1,1,,skipped_small_product_cluster
247,False,1,1,,skipped_small_product_cluster
248,False,1,1,,skipped_small_product_cluster
249,False,1,1,,skipped_small_product_cluster
250,False,1,1,,skipped_small_product_cluster
251,False,1,1,,skipped_small_product_cluster
252,False,2,1,,skipped_small_product_cluster
253,False,1,1,,skipped_small_product_cluster
254,False,1,1,,skipped_small_product_cluster
255,False,3,1,,skipped_small_product_cluster
256,False,1,1,,skipped_small_product_cluster
257,False,1,1,,skipped_small_product_cluster
258,False,1,1,,skipped_small_product_cluster
259,False,1,1,,skipped_small_product_cluster
260,False,1,1,,skipped_small_product_cluster
261,False,1,1,,skipped_small_product_cluster
262,False,1,1,,skipped_small_product_cluster
264,False,1,1,,skipped_small_product_cluster
265,False,1,1,,skipped_small_product_cluster
266,False,1,1,,skipped_small_product_cluster
268,False,3,1,,skipped_small_product_cluster
269,False,1,1,,skipped_small_product_cluster
270,False,1,1,,skipped_small_product_cluster
271,False,1,1,,skipped_small_product_cluster
273,False,1,1,,skipped_small_product_cluster
274,False,1,1,,skipped_small_product_cluster
275,False,1,1,,skipped_small_product_cluster
276,False,1,1,,skipped_small_product_cluster
277,False,1,1,,skipped_small_product_cluster
278,False,1,1,,skipped_small_product_cluster
279,False,1,1,,skipped_small_product_cluster
280,False,1,1,,skipped_small_product_cluster
281,False,3,1,,skipped_small_product_cluster
282,False,1,1,,skipped_small_product_cluster
283,False,2,1,,skipped_small_product_cluster
284,False,1,1,,skipped_small_product_cluster
285,False,1,1,,skipped_small_product_cluster
287,False,1,1,,skipped_small_product_cluster
288,False,2,1,,skipped_small_product_cluster
289,False,1,1,,skipped_small_product_cluster
290,False,3,1,,skipped_small_product_cluster
291,False,1,1,,skipped_small_product_cluster
292,False,2,1,,skipped_small_product_cluster
293,False,1,1,,skipped_small_product_cluster
294,False,1,1,,skipped_small_product_cluster
295,False,1,1,,skipped_small_product_cluster
296,False,2,1,,skipped_small_product_cluster
297,False,1,1,,skipped_small_product_cluster
298,False,2,1,,skipped_small_product_cluster
299,False,1,1,,skipped_small_product_cluster
300,False,1,1,,skipped_small_product_cluster
301,False,1,1,,skipped_small_product_cluster
302,False,1,1,,skipped_small_product_cluster
303,False,1,1,,skipped_small_product_cluster
304,False,1,1,,skipped_small_product_cluster
305,False,1,1,,skipped_small_product_cluster
306,False,1,1,,skipped_small_product_cluster
307,False,1,1,,skipped_small_product_cluster
308,False,2,1,,skipped_small_product_cluster
309,False,1,1,,skipped_small_product_cluster
310,False,2,1,,skipped_small_product_cluster
311,False,1,1,,skipped_small_product_cluster
312,False,1,1,,skipped_small_product_cluster
313,False,1,1,,skipped_small_product_cluster
314,False,1,1,,skipped_small_product_cluster
315,False,1,1,,skipped_small_product_cluster
316,False,1,1,,skipped_small_product_cluster
317,False,1,1,,skipped_small_product_cluster
318,False,1,1,,skipped_small_product_cluster
319,False,1,1,,skipped_small_product_cluster
320,False,1,1,,skipped_small_product_cluster
321,False,1,1,,skipped_small_product_cluster
