ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,Autotuned,VariantThreshold,CoreFrac,PriceWeight
109,129,0,1,,63.6,63.6,63.6,False,,,
325,367,0,1,,63.65,63.65,63.65,False,,,
377,424,0,1,,63.65,63.65,63.65,False,,,
105,125,0,1,,63.69,63.69,63.69,False,,,
169,193,0,1,,63.69,63.69,63.69,False,,,
260,293,0,1,,63.69,63.69,63.69,False,,,
407,457,0,1,,63.69,63.69,63.69,False,,,
17,17,0,1,,63.7,63.7,63.7,False,,,
24,24,0,1,,63.7,63.7,63.7,False,,,
40,42,0,1,,63.7,63.7,63.7,False,,,
52,66,0,1,,63.7,63.7,63.7,False,,,
70,84,0,1,,63.7,63.7,63.7,False,,,
88,106,4,1,jeux ps fc,63.7,63.7,63.7,True,0.33,0.7,0.35
122,144,0,1,,63.7,63.7,63.7,False,,,
159,181,0,1,,63.7,63.7,63.7,False,,,
174,198,0,1,,63.7,63.7,63.7,False,,,
192,216,0,1,,63.7,63.7,63.7,False,,,
217,245,0,1,,63.7,63.7,63.7,False,,,
243,276,0,1,,63.7,63.7,63.7,False,,,
253,286,0,1,,63.7,63.7,63.7,False,,,
285,325,0,1,,63.7,63.7,63.7,False,,,
295,337,0,1,,63.7,63.7,63.7,False,,,
316,358,0,1,,63.7,63.7,63.7,False,,,
327,369,0,1,,63.7,63.7,63.7,False,,,
342,384,0,1,,63.7,63.7,63.7,False,,,
363,410,0,1,,63.7,63.7,63.7,False,,,
394,441,0,1,,63.7,63.7,63.7,False,,,
401,451,3,1,of us2 limited edition,63.7,63.7,63.7,True,0.3,0.78,0.55
423,473,0,1,,63.7,63.7,63.7,False,,,
430,480,0,1,,63.7,63.7,63.7,False,,,
435,485,0,1,,63.7,63.7,63.7,False,,,
438,488,0,1,,63.7,63.7,63.7,False,,,
464,514,0,1,,63.7,63.7,63.7,False,,,
569,627,0,1,,63.7,63.7,63.7,False,,,
576,634,0,1,,63.7,63.7,63.7,False,,,
611,669,0,1,,63.7,63.7,63.7,False,,,
616,674,0,1,,63.7,63.7,63.7,False,,,
631,689,0,1,,63.7,63.7,63.7,False,,,
678,749,3,1,volant trusmaster pedale,63.7,63.7,63.7,True,0.33,0.7,0.35
618,676,0,1,,65.8,65.8,65.8,False,,,
322,364,0,1,,66.85,66.85,66.85,False,,,
10,10,0,1,,67.85,67.85,67.85,False,,,
102,122,2,1,syndacate steelbook ps4,67.89,67.89,67.89,True,0.33,0.78,0.35
355,402,0,1,,67.9,67.9,67.9,False,,,
2,2,0,1,,68.95,68.95,68.95,False,,,
3,3,0,1,,68.95,68.95,68.95,False,,,
20,20,0,1,,68.95,68.95,68.95,False,,,
27,28,1,1,ps3,68.95,68.95,68.95,True,0.29,0.7,0.65
44,46,0,1,,68.95,68.95,68.95,False,,,
80,94,0,1,,68.95,68.95,68.95,False,,,
171,195,0,1,,68.95,68.95,68.95,False,,,
203,231,0,1,,68.95,68.95,68.95,False,,,
257,290,0,1,,68.95,68.95,68.95,False,,,
306,348,0,1,,68.95,68.95,68.95,False,,,
380,427,0,1,,68.95,68.95,68.95,False,,,
573,631,0,1,,68.95,68.95,68.95,False,,,
575,633,0,1,,68.95,68.95,68.95,False,,,
578,636,0,1,,68.95,68.95,68.95,False,,,
612,670,0,1,,68.95,68.95,68.95,False,,,
613,671,0,1,,68.95,68.95,68.95,False,,,
623,681,0,1,,68.95,68.95,68.95,False,,,
360,407,0,1,,72.09,72.09,72.09,False,,,
337,379,0,1,,72.1,72.1,72.1,False,,,
134,156,0,1,,73.15,73.15,73.15,False,,,
155,177,0,1,,73.15,73.15,73.15,False,,,
107,127,0,1,,74.19,74.19,74.19,False,,,
379,426,0,1,,74.19,74.19,74.19,False,,,
34,36,0,1,,74.2,74.2,74.2,False,,,
92,110,0,1,,74.2,74.2,74.2,False,,,
96,114,0,1,,74.2,74.2,74.2,False,,,
125,147,0,1,,74.2,74.2,74.2,False,,,
127,149,0,1,,74.2,74.2,74.2,False,,,
160,183,1,1,apocalypse edition,74.2,74.2,74.2,True,0.36,0.7,0.25
167,191,0,1,,74.2,74.2,74.2,False,,,
245,278,0,1,,74.2,74.2,74.2,False,,,
246,279,0,1,,74.2,74.2,74.2,False,,,
270,308,0,1,,74.2,74.2,74.2,False,,,
284,324,0,1,,74.2,74.2,74.2,False,,,
294,336,0,1,,74.2,74.2,74.2,False,,,
299,341,0,1,,74.2,74.2,74.2,False,,,
319,361,0,1,,74.2,74.2,74.2,False,,,
323,365,0,1,,74.2,74.2,74.2,False,,,
366,413,0,1,,74.2,74.2,74.2,False,,,
371,418,0,1,,74.2,74.2,74.2,False,,,
403,453,0,1,,74.2,74.2,74.2,False,,,
422,472,0,1,,74.2,74.2,74.2,False,,,
425,475,0,1,,74.2,74.2,74.2,False,,,
451,501,0,1,,74.2,74.2,74.2,False,,,
465,515,0,1,,74.2,74.2,74.2,False,,,
466,516,0,1,,74.2,74.2,74.2,False,,,
563,621,0,1,,74.2,74.2,74.2,False,,,
615,673,0,1,,74.2,74.2,74.2,False,,,
673,738,0,1,lenkrad,74.2,74.2,74.2,True,0.3,0.78,0.55
679,750,0,1,,74.2,74.2,74.2,False,,,
684,755,0,1,,74.2,74.2,74.2,False,,,
698,769,0,1,,74.2,74.2,74.2,False,,,
18,18,0,1,,79.45,79.45,79.45,False,,,
28,30,0,1,,79.45,79.45,79.45,False,,,
72,86,0,1,,79.45,79.45,79.45,False,,,
143,165,0,1,,79.45,79.45,79.45,False,,,
157,179,0,1,,79.45,79.45,79.45,False,,,
164,188,0,1,,79.45,79.45,79.45,False,,,
187,211,0,1,,79.45,79.45,79.45,False,,,
302,344,0,1,,79.45,79.45,79.45,False,,,
352,399,0,1,,79.45,79.45,79.45,False,,,
357,404,0,1,,79.45,79.45,79.45,False,,,
432,482,0,1,,79.45,79.45,79.45,False,,,
566,624,0,1,,79.45,79.45,79.45,False,,,
583,641,0,1,,79.45,79.45,79.45,False,,,
649,709,0,1,,84.18,84.18,84.18,False,,,
395,442,0,1,,84.65,84.65,84.65,False,,,
408,458,0,1,,84.65,84.65,84.65,False,,,
71,85,0,1,,84.69,84.69,84.69,False,,,
27,29,2,1,,84.7,84.7,84.7,True,0.29,0.7,0.65
35,37,0,1,,84.7,84.7,84.7,False,,,
131,153,0,1,,84.7,84.7,84.7,False,,,
142,164,0,1,,84.7,84.7,84.7,False,,,
215,243,0,1,,84.7,84.7,84.7,False,,,
227,255,0,1,,84.7,84.7,84.7,False,,,
