Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Upload_date,Images,SearchCount,Page,Title_norm,Brand_norm,NegFlags,HasNegFlag,BlockKey,EmbedText,ProductId,ClusterSize,CanonicalName
Jeux Wii ps4,74.2,No brand,0,https://www.vinted.it/items/8111807214-jeux-wii-ps4?referrer=catalog,0,8111807214,On Sale,,,https://images1.vinted.net/t/04_025e1_oLZ7PThVBHvqZ1yMvNZzfXVh/310x430/1770380659.webp?s=183e2fb4a03b9b18ab66c6f2957f6ca3f6cc7f43,1,4,jeux wii ps4,no brand,,False,no brand__toks__jeux-wii,jeux wii ps4 | no brand | 0,248,1,jeux wii ps4
Kit xtreme controller+cuffia per ps4,45.85,Xtreme,0,https://www.vinted.it/items/8111773913-kit-xtreme-controllercuffia-per-ps4?referrer=catalog,0,8111773913,On Sale,,,https://images1.vinted.net/t/04_00855_niuqwSVYba7APtAqdV8s9iu1/310x430/1770380406.webp?s=bb987d9ad967c83f7d0af27302ed5ab7de8149fa,1,4,kit xtreme controller cuffia per ps4,xtreme,,False,xtreme__toks__kit-xtreme,kit xtreme controller cuffia per ps4 | xtreme | 0,704,1,kit xtreme controller cuffia per ps4
Kingdom hearts all in one package 🇮🇹,58.45,No brand,0,https://www.vinted.it/items/8111710991-kingdom-hearts-all-in-one-package?referrer=catalog,12,8111710991,On Sale,,,https://images1.vinted.net/t/05_026b2_H3wspFXvB3yrqGLQSu3ZwDf3/310x430/1770379921.webp?s=006d1240beff391617d4f65d908f47f74730521d,1,4,kingdom hearts all in one package,no brand,,False,no brand__toks__kingdom-hearts,kingdom hearts all in one package | no brand | 0,258,3,kingdom hearts all in one package ps4 nuovo
Volante play station 4 nuovo,74.2,PlayStation,0,https://www.vinted.it/items/8111587390-volante-play-station-4-nuovo?referrer=catalog,0,8111587390,On Sale,,,https://images1.vinted.net/t/06_01df7_JCJ9byqUashCmecz4Zi9y9dz/310x430/1770378953.webp?s=d1320eeaa5498886e309adb467f9d10bcca75122,1,4,volante play station 4 nuovo,playstation,,False,playstation__toks__volante-play,volante play station 4 nuovo | playstation | 0,575,2,volante play station nuovo
Jeu NBA ps4,47.95,No brand,0,https://www.vinted.it/items/8111587037-jeu-nba-ps4?referrer=catalog,0,8111587037,On Sale,,,https://images1.vinted.net/t/01_01bb4_UBhWuNTpX1CXjJPLqrM9yMSE/310x430/1770378950.webp?s=11a9e0f60eb1e9b81ba344e40c2537b993a85756,1,4,jeu nba ps4,no brand,,False,no brand__toks__jeu-nba,jeu nba ps4 | no brand | 0,229,1,jeu nba ps4
Lotto ps4 vr: driveclub vr + rush of Blood - nuovi sigillati,84.7,No brand,0,https://www.vinted.it/items/8111569964-lotto-ps4-vr-driveclub-vr-rush-of-blood-nuovi-sigillati?referrer=catalog,0,8111569964,On Sale,,,https://images1.vinted.net/t/03_020a0_YpAeA8mnARVq7VvSZmw8AZLL/310x430/1770378815.webp?s=08e6cd4ddc77f25dda94e380eca1cf8c1317be17,1,4,lotto ps4 vr driveclub vr rush of blood nuovi sigillati,no brand,lotto,True,no brand__toks__lotto-ps4,lotto ps4 vr driveclub vr rush of blood nuovi sigillati | no brand | 0,277,1,vr lotto ps4 driveclub rush of blood nuovi
Jogos ps4 10 unidades,53.2,No brand,0,https://www.vinted.it/items/8111540011-jogos-ps4-10-unidades?referrer=catalog,3,8111540011,On Sale,,,https://images1.vinted.net/t/06_01c33_wMvmWqQu5nT9As3kPoH98kmm/310x430/1770378582.webp?s=48060269ea8d4d1fe6f8bb74d9bb7318002fdeb6,1,4,jogos ps4 10 unidades,no brand,,False,no brand__codes__10,jogos ps4 10 unidades | no brand | 0,73,3,10 ps4 lotto di giochi per jogos unidades
Pack juegos precintados PS4,105.7,No brand,0,https://www.vinted.it/items/8111535435-pack-juegos-precintados-ps4?referrer=catalog,6,8111535435,On Sale,,,https://images1.vinted.net/t/06_00f4d_JzEADTAp4bkEaY7oqKBBxFrw/310x430/1770378546.webp?s=9791322e4100033bf2277760401809b17691eedc,1,4,pack juegos precintados ps4,no brand,,False,no brand__toks__pack-juegos,pack juegos precintados ps4 | no brand | 0,309,1,pack juegos precintados ps4
Lenkrad ps4/3 / Xbox/ PC,79.45,PXN,0,https://www.vinted.it/items/8111423071-lenkrad-ps43-xbox-pc?referrer=catalog,0,8111423071,On Sale,,,https://images1.vinted.net/t/06_01f8a_t2eatasDE9xpJEVcrNb1F5YL/310x430/1770377669.webp?s=4294a7009e03057aab62e2b54274a6ab4b724e6e,1,4,lenkrad ps4 3 xbox pc,pxn,,False,pxn__toks__lenkrad-ps4,lenkrad ps4 3 xbox pc | pxn | 0,588,1,lenkrad ps4 xbox pc
Nannna,510.0,PlayStation,0,https://www.vinted.it/items/8111334992-nannna?referrer=catalog,0,8111334992,On Sale,,,https://images1.vinted.net/t/06_016d8_EokjvWcAzS4BY4U7AqdoH1eo/310x430/1770376968.webp?s=1f1b86b7a0405b65d8b36a000a45daede3d3eb7a,1,4,nannna,playstation,,False,playstation__toks__nannna,nannna | playstation | 0,501,1,nannna
🎮 Logitech G923 – Volant + Pédalier – État neuf – PlayStation / PC,263.2,Logitech,0,https://www.vinted.it/items/8111190836-logitech-g923-volant-pedalier-etat-neuf-playstation-pc?referrer=catalog,0,8111190836,On Sale,,,https://images1.vinted.net/t/06_0063e_JxVaCA6nryehQPwQDYuJuaa9/310x430/1770375827.webp?s=cb13040168b2463044582c90adaf918ed75de3ab,1,4,logitech g923 volant pedalier etat neuf playstation pc,logitech,,False,logitech__codes__g923,logitech g923 volant pedalier etat neuf playstation pc | logitech | 0,50,7,logitech g923 volante racing wheel pedali ps4 ps5
