ProductId,VariantId,VariantLocal,VariantCount,VariantTextTop,PriceMedian,PriceMin,PriceMax,VariantThreshold,CoreFrac,PriceWeight
238,274,0,1,,49.0,49.0,49.0,0.33,0.7,0.5
381,431,0,1,,49.0,49.0,49.0,0.33,0.7,0.5
289,334,0,1,,49.53,49.53,49.53,0.33,0.7,0.5
269,310,0,1,,50.05,50.05,50.05,0.33,0.7,0.5
57,72,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
97,117,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
102,123,1,1,origins gold jeu non inclus,51.1,51.1,51.1,0.33,0.7,0.5
110,133,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
471,523,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
592,651,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
597,656,0,1,,51.1,51.1,51.1,0.33,0.7,0.5
218,249,0,1,,52.15,52.15,52.15,0.33,0.7,0.5
416,468,0,1,,52.15,52.15,52.15,0.33,0.7,0.5
433,485,0,1,,52.15,52.15,52.15,0.33,0.7,0.5
470,522,0,1,,52.15,52.15,52.15,0.33,0.7,0.5
661,727,3,1,console memory card joystick,52.15,52.15,52.15,0.33,0.7,0.5
90,110,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
124,149,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
188,215,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
210,241,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
256,292,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
276,319,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
431,483,0,1,,53.19,53.19,53.19,0.33,0.7,0.5
8,8,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
30,32,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
58,73,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
59,74,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
74,89,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
79,94,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
81,96,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
84,99,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
88,108,5,1,playstation,53.2,53.2,53.2,0.33,0.7,0.5
89,109,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
95,115,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
112,135,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
115,138,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
136,161,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
141,166,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
158,183,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
166,193,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
180,207,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
198,228,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
205,236,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
222,253,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
223,254,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
224,255,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
229,260,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
247,283,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
249,285,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
275,318,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
277,320,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
278,321,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
297,342,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
300,345,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
331,376,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
334,379,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
339,384,0,1,,53.2,53.2,53.2,0.33,0.7,0.5
